timestamp,src,dst,proto,pkt_len,dataset,prediction
2025-12-06 00:28:41,3.33.221.48,172.26.57.105,6,184,NSL-KDD,normal
2025-12-06 00:28:42,172.26.57.105,3.33.221.48,6,54,NSL-KDD,normal
2025-12-06 00:28:45,172.26.57.223,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:28:45,172.26.57.105,172.26.57.223,6,54,NSL-KDD,normal
2025-12-06 00:28:45,172.26.57.223,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:28:45,172.26.57.105,172.26.57.223,6,54,NSL-KDD,normal
2025-12-06 00:28:45,13.204.106.34,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:28:46,172.26.57.105,13.204.106.34,6,54,NSL-KDD,normal
2025-12-06 00:28:48,172.26.57.105,3.230.18.156,6,54,NSL-KDD,normal
2025-12-06 00:28:49,3.230.18.156,172.26.57.105,6,85,NSL-KDD,normal
2025-12-06 00:28:49,3.230.18.156,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:28:49,172.26.57.105,3.230.18.156,6,54,NSL-KDD,normal
2025-12-06 00:28:49,172.26.57.105,13.107.246.68,6,66,NSL-KDD,normal
2025-12-06 00:28:49,172.26.57.105,13.107.246.68,6,66,NSL-KDD,normal
2025-12-06 00:28:49,13.107.246.68,172.26.57.105,6,66,NSL-KDD,normal
2025-12-06 00:28:49,172.26.57.105,13.107.246.68,6,54,NSL-KDD,normal
2025-12-06 00:28:49,172.26.57.105,13.107.246.68,6,1434,NSL-KDD,normal
2025-12-06 00:28:50,172.26.57.105,13.107.246.68,6,499,NSL-KDD,normal
2025-12-06 00:28:50,13.107.246.68,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:28:50,13.107.246.68,172.26.57.105,6,54,NSL-KDD,normal
2025-12-06 00:28:50,13.107.246.68,172.26.57.105,6,153,NSL-KDD,normal
2025-12-06 00:28:50,172.26.57.105,13.107.246.68,6,693,NSL-KDD,normal
2025-12-06 00:28:50,13.107.246.68,172.26.57.105,6,1434,NSL-KDD,normal
2025-12-06 00:28:50,13.107.246.68,172.26.57.105,6,1434,NSL-KDD,normal
2025-12-06 00:28:50,172.26.57.105,13.107.246.68,6,54,NSL-KDD,normal
2025-12-06 00:28:50,13.107.246.68,172.26.57.105,6,1390,NSL-KDD,normal
